Index,Prefab,Mode,Root,JP,EN,KO,TC,Notes,Status
0,TitleMenu,1,AnmRoot/Menu/cursollist_updown_0/fixedlist_fixedtext_x,チャプターセレクト,Chapter Select,챕터 선택,章節選擇,タイトル画面メニュー,Translated
1,TitleMenu,1,AnmRoot/Menu/cursollist_updown_1/fixedlist_fixedtext_x,中断データからはじめる,Resume,계속하기,從中斷資料繼續,タイトル画面メニュー,Translated
2,TitleMenu,1,AnmRoot/Menu/cursollist_updown_2/fixedlist_fixedtext_x,エンディングリスト,Ending List,엔딩 리스트,結局一覽,タイトル画面メニュー,Translated
3,TitleMenu,1,AnmRoot/Menu/cursollist_updown_3/fixedlist_fixedtext_x,名札リスト,Name Tag List,명찰 리스트,名牌一覽,タイトル画面メニュー,Translated
4,TitleMenu,1,AnmRoot/Menu/cursollist_updown_4/fixedlist_fixedtext_x,コンフィグ,Config,환경 설정,設定,タイトル画面メニュー,Translated
5,TitleMenu,1,AnmRoot/Menu/cursollist_updown_5/fixedlist_fixedtext_x,言語選択 日本語,Language English,언어 설정 한국어,語言選擇 繁體中文,タイトル画面メニュー,Translated
6,Config,2,AnmRoot/Header/TMP_Header,コンフィグ,Config,환경 설정,設定,コンフィグ,Translated
7,Config,2,AnmRoot/Config/Set0/TMP_Set,BGMボリューム,Bgm Volume,배경음,背景音樂音量,コンフィグ,Translated
8,Config,2,AnmRoot/Config/Set1/TMP_Set,SEボリューム,Sfx Volume,효과음,音效音量,コンフィグ,Translated
9,Config,2,AnmRoot/Config/Set2/TMP_Set,音声ボリューム,Voice Volume,음성,語音音量,コンフィグ,Translated
10,Config,2,AnmRoot/Config/Set3/TMP_Set,メッセージスピード,Message Speed,메시지 속도,文字顯示速度,コンフィグ,Translated
11,Config,2,AnmRoot/Config/Set4/TMP_Set,画面エフェクト,Effect,화면 이펙트,畫面效果,コンフィグ,Translated
12,Config,2,AnmRoot/Config/Set5/TMP_Set,メッセージスキップ操作,Message Skip,메시지 스킵 기능,文字跳過,コンフィグ,Translated
13,Config,2,AnmRoot/Config/Set6/TMP_Set,プレイ時間表示,Playtime Paint,플레이 시간 출력,顯示遊玩時間,コンフィグ,Translated
14,Config,2,AnmRoot/Config/Set7/TMP_Set,操作ボタンガイド,Button Information,버튼 안내,操作按鍵提示,コンフィグ,Translated
15,Config,2,AnmRoot/Config/Set8/TMP_Set,初期設定に戻す,Initialize,설정 초기화,恢復預設設定,コンフィグ,Translated
16,Config,2,AnmRoot/Config/Set3/Select/Select0/TMP_Select,遅い,Slow,느림,慢,コンフィグ,Translated
17,Config,2,AnmRoot/Config/Set3/Select/Select1/TMP_Select,普通,Normal,보통,普通,コンフィグ,Translated
