Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,七星,田久地さんいつ帰るの？, , ,Naho,"So, when are you leaving again, Taguchi?",,,나호,타구치 씨는 언제 돌아가?,,,七星,田久地先生什麼時候回去？,,,1,235,31,1,0,0,0,0,0,,Translated
1,田久地,うぐ……ぼ、僕の顔見るたびにそれ言うの、,やめてくれないかな。, ,Taguchi,"Oh, come on! Do you really have to ask me that every",time you see me?,,타구치,"으윽...... 내, 내 얼굴 볼 때마다",그런 걸 묻지 말아줄래.,,田久地,嗚……你、你能不能別每次,看到我的臉都這麼說啊。,,1,161,33,1,0,0,0,0,0,,Translated
2,七星,だってもう随分時間経ってるでしょう？,ウチに来て。, ,Naho,"Well, I have good reason to. You've been over for",a long time now.,,나호,그게 벌써 오래 됐잖아.,집에 온 지.,,七星,因為已經過了很久了吧？,來我家也。,,1,236,31,1,0,0,0,0,0,,Translated
3,田久地,まだ１０分経ってないよ！？, , ,Taguchi,I haven't even been here ten minutes!,,,타구치,아직 10분도 안 지났거든!,,,田久地,還沒超過十分鐘吧！？,,,1,162,33,1,0,0,0,0,0,,Translated
4,鬼碑忌,七星くん、そう田久地くんを虐めないで,くれたまえ。, ,Kibiki,"Naho, please don't be mean to Taguchi.",,,키비키,"나호 군, 너무 타구치 군을",괴롭히지 말게.,,鬼碑忌,七星，別欺負田久地了。,,,1,62,36,1,0,0,0,0,0,,Translated
5,鬼碑忌,明日も助手として、,僕の取材の手伝いをしてくれる予定なんだ。, ,Kibiki,He's going to be helping me gather data again,"tomorrow, you know.",,키비키,내일도 조수로서,내 취재를 도울 예정이야.,,鬼碑忌,他明天也要以助手的身份,來幫我採訪的。,,1,88,36,1,0,0,0,0,0,,Translated
6,七星,……先生。でも最近、,うちに来る頻度どんどん高くなってるし、, ,Naho,But he's been coming over soooo often lately!,,,나호,...... 선생님. 그치만 요즘 이 사람,여기 오는 빈도가 점점 높아지고 있는데,,七星,……老師。可是最近他,來我家的頻率越來越高了，,,1,64,36,1,0,0,0,0,0,,Translated
7,七星,そろそろ厚かましいかな、なんて。,長居しすぎです。, ,Naho,He's basically mooching off of our good will at,"this point. And enough is enough, don't you think?",,나호,"좀 뻔뻔하지 않나, 싶어서요.",너무 오래 있었어요.,,七星,差不多該覺得他厚臉皮了吧。,待太久了。,,1,90,36,1,0,0,0,0,0,,Translated
8,七星,……普通、自分で空気を読むものなんだけどなぁ。, , ,Naho,"Normally, a house guest will be able to tell when","he's overstayed his welcome, but not Taguchi! He has",no compunctions about staying well past his prime.,나호,...... 보통은 분위기를 읽고 나갈 텐데 말야.,,,七星,……一般來說，應該要自己懂得看氣氛吧。,,,1,238,31,1,0,0,0,0,0,,Translated
9,田久地,いま来たばっかりなんで！！, , ,Taguchi,I literally just got here!,,,타구치,난 지금 막 왔거든!!,,,田久地,我才剛來不久啊！！,,,1,163,33,1,0,0,0,0,0,,Translated
