Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,,チャプター２のオープニングを見ますか？, , ,,View the Chapter 2 opening?,,,,챕터2 오프닝을 보겠습니까?,,,,要觀看第二章的開場嗎？, ,,0,0,0,0,0,0,0,0,0,,Translated
1,,はい,いいえ,,,Yes,No,,,네,아니오,,,是,否,,0,255,255,255,255,255,255,255,255,,Translated
2,あゆみ,いあああぁぁぁ……, , ,Ayumi,Nooooooo!,,,아유미,아아아아아아......,,,あゆみ,不要啊啊啊啊……, ,,1,67,0,1,0,0,0,0,0,,Translated
3,良樹,大丈夫だよセンセー、俺が篠崎見てるよ。, , ,Yoshiki,"It's okay, Teach. I'll keep an eye on Shinozaki.",,,요시키,"괜찮아 선생님, 내가 시노자키를 보고 있을게.",,,良樹,沒事的，老師，我會看著篠崎。, ,,1,207,22,1,0,0,0,0,0,,Translated
4,結衣,お願いね。すぐ戻るから……, , ,Ms. Shishido,Much obliged. I'll be right back.,,,유이,부탁해. 금방 올 테니까......,,,結衣,拜託你了。我馬上回來……, ,,1,222,26,1,0,0,0,0,0,,Translated
5,結衣,中嶋さん……無事でいて。, , ,Ms. Shishido,I hope Nakashima is okay...,,,유이,나카시마...... 무사해야 해.,,,結衣,中嶋同學……你要平安啊。, ,,1,223,26,1,0,0,0,0,0,,Translated
6,結衣,悲鳴は……あっちから聞こえたわね。, , ,Ms. Shishido,That scream sounded like it came...from out here...,,,유이,비명은...... 저쪽에서 들렸지.,,,結衣,慘叫聲……是從那邊傳來的。, ,,1,224,26,1,0,0,0,0,0,,Translated
7,体育教師,岸沼ァ……, , ,Gym Teacher,Kishinuma!,,,체육교사,키시누마......,,,体育教師,岸沼……, ,,1,136,20,1,0,0,0,0,0,,Translated
8,良樹,！（やべ）, , ,Yoshiki,...! (Crap.),,,요시키,! (이런),,,良樹,！（糟了）, ,,1,91,23,1,0,0,0,0,0,,Translated
9,体育教師,何だこの煙はァ？　……出て来い！　便所から。, , ,Gym Teacher,What's all this smoke I see? ...Get the hell out,"of that stall, right this instant!",,체육교사,뭐냐 이 연기는? ...... 얼른 나와! 거기에서.,,,体育教師,這煙是怎麼回事？……出來！從廁所裡。, ,,1,137,20,1,0,0,0,0,0,,Translated
10,体育教師,……また喫ってたのか？, , ,Gym Teacher,"Hitting the tobacco again, were we?",,,체육교사,...... 또 피운 거냐?,,,体育教師,……又抽菸了嗎？, ,,1,138,20,1,0,0,0,0,0,,Translated
11,良樹,えーと……その、いいえ。, , ,Yoshiki,"Uhhh...well...no, sir.",,,요시키,"으음~ 그게, 아뇨.",,,良樹,呃……那個……沒有。, ,,1,92,23,1,0,0,0,0,0,,Translated
12,体育教師,次、目撃したらクビだって、言っといたよな？,学校。, ,Gym Teacher,Didn't I warn you what would happen if I caught you,"smoking again? Expulsion, that's what!",,체육교사,다음에 잡히면 모가지라고 했지?,학교.,,体育教師,下次再被我抓到就退學，我說過了吧？,學校。,,1,139,20,1,0,0,0,0,0,,Translated
13,良樹,すィません……, , ,Yoshiki,I'm sorry...,,,요시키,죄송합니다......,,,良樹,對不起……, ,,1,93,23,1,0,0,0,0,0,,Translated
14,体育教師,……ハァー、“問題児”。,お前さ、何で学校にいるの？, ,Gym Teacher,"You're a real problem child, you know that?",Why do you even come to school in the first,place?,체육교사,하아~ “문제아”.,너는 왜 학교에 있는 거냐?,,体育教師,……唉～「問題兒童」。,你到底是為了什麼來學校的？,,1,140,20,1,0,0,0,0,0,,Translated
15,良樹,………。, , ,Yoshiki,Heh...,,,요시키,.........,,,良樹,………。, ,,1,94,23,1,0,0,0,0,0,,Translated
16,体育教師,親からも勘当されて別居状態、友達もいない、,授業も出ん。, ,Gym Teacher,Disowned by your parents... Living on your own...,Got no friends... Never go to class...,,체육교사,"부모와도 의절해서 별거 상태, 친구도 없고",수업도 안 듣고.,,体育教師,被父母斷絕關係分居、沒有朋友、,也不來上課。,,1,141,20,1,0,0,0,0,0,,Translated
