Chapter,ArrayIndex,ItemFlag,ItemGraphic,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN_Name,EN_Page1,EN_Page2,EN_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,Notes,Status
cap1item,0,5,0,ボロの板切れ,あちこち傷んでボロボロの板切れ。,簡単に割れてしまいそうだ。,,Loose Board, A plank of wood pried up from the," floor. Has seen better days, but", still seems relatively sturdy.,낡은 널빤지 ,곳곳이 상해서 너덜너덜해진 널빤지. ,쉽게 부러질 것 같다. , ,破爛的木板,四處受損、破爛不堪的木板。,看來輕輕一碰就會裂開。,,,Translated
cap1item,1,219,1,不明の鍵,用途不明の鍵。,古い物のようで簡単な形状をしている。,,Unknown Key, A key to some unknown lock.," Has that classic key shape,", suggesting it's rather old.,알 수 없는 열쇠 ,용도가 불명한 열쇠. ,오래전 것이라 그런지 간소한 모양새다. , ,不明的鑰匙,用途不明的鑰匙。,看來年代久遠，造型十分簡單。,,,Translated
cap1item,2,107,5,汚れたバケツ,底の腐蝕が進んだ古いバケツ。,中には小さな虫が沢山わいている。,,Filthy Bucket," An old, heavily corroded bucket", full of moldy deposits and highly," sated, energetic insects.",더러운 양동이 ,바닥에 부식이 진행된 낡은 양동이. ,안에는 작은 벌레가 잔뜩 꼬여 있다. , ,髒水桶,底部嚴重腐蝕的舊水桶。,裡頭滋生了許多細小的蟲子。,,,Translated
cap1item,3,55,2,保健室の鍵,白く輝く綺麗な鍵。,【保健室】とラベルが貼ってある。,,Infirmary Key, A shiny metallic key with a pretty, white finish. The attached label," reads, ”Infirmary.”",보건실 열쇠 ,하얗게 빛나는 예쁜 열쇠. ,【보건실】이라는 라벨이 붙어 있다. , ,保健室的鑰匙,閃著白光的漂亮鑰匙。,上面貼著「保健室」的標籤。,,,Translated
cap1item,4,40,3,汚れたマッチ,ストーブの横に落ちていた古いマッチ。,中身は沢山残っている。,,Box of Matches, A box of loose matches found near, an old-fashioned space heater., There are still quite a few left.,더러운 성냥 ,난로 옆에 떨어져 있던 낡은 성냥. ,성냥이 가득 담겨 있다. , ,骯髒火柴,掉在暖爐旁的舊火柴。,盒裡還剩下很多根。,,,Translated
cap1item,5,39,4,アルコール瓶,中身のたっぷり入った、消毒用の,アルコール瓶。,,Rubbing Alcohol, A very old bottle of rubbing, alcohol. Still filled almost, all the way to the top.,알코올병 ,알코올이 듬뿍 들어간 ,소독용 알코올병. , ,酒精瓶,裝得滿滿的消毒用酒精瓶。,,,,Translated
cap2item,0,179,6,パワーストーン,結衣の拾った、紫色の綺麗な水晶。,持つ者を邪悪な気から護る力があると,いう。,Power Stone, A pale violet crystal found by Ms., Yui. Protects its bearer from, harm.,파워 스톤 ,"유이가 주운, 자줏빛이 감도는 예쁜 수정. ",이것을 지니고 있는 자를 사악한 것들로부터 ,지켜주는 힘이 있다고 한다. ,能量石,結衣撿到的漂亮紫水晶。,據說能保護持有者免受邪氣侵害。,,,Translated
cap2item,1,54,6,パワーストーン,結衣から貰った、紫色の綺麗な水晶。,持つ者を邪悪な気から護る力があると,いう。,Power Stone, A pale violet crystal found by Ms., Yui. Protects its bearer from, harm.,파워 스톤 ,"유이가 주운, 자줏빛이 감도는 예쁜 수정. ",이것을 지니고 있는 자를 사악한 것들로부터 ,지켜주는 힘이 있다고 한다. ,能量石,結衣送的漂亮紫水晶。,據說能保護持有者免受邪氣侵害。,,,Translated
cap2item,2,180,1,３のＡの鍵,【３のＡ】と書かれた古びた鍵。,錆びついてボロボロだが…,,Room 3-A Key, An old key with ”3-A”written on," it. Seems fairly rusted, but", should still turn.,3-A 열쇠 ,【3-A】라고 적힌 낡은 열쇠. ,녹이 슬어서 너덜너덜한데… , ,３年Ａ班的鑰匙,寫著「３年Ａ班」的舊鑰匙。,雖已鏽蝕破爛，但似乎還能使用……,,,Translated
cap2item,3,66,7,鉄の釘抜き,４のＡの教室で拾った、,錆びついた鉄の釘(くぎ)抜き。,,Nail Puller, Found in classroom 4-A. It's a," plain, rusted nail puller made", of iron.,철제 못뽑이 ,4-A 교실에서 주운 ,녹이 슨 철제 못뽑이. , ,鐵製拔釘器,在４年Ａ班教室撿到的生鏽鐵製拔釘器。,,,,Translated
