Index,JP,EN2,KO,TC,Translator_Notes,Status
0,なし,なし,,無,,Translated
1,,,,,,Translated
2,別館１階 玄関,Second Wing 1F - Entranceway,별관 1F 현관,別館１樓・玄關,,Translated
3,,,,,,Translated
4,別館１階 東通路,Second Wing 1F - East Hall,별관 1F 동쪽 통로,別館１樓・東側走廊,,Translated
5,,,,,,Translated
6,別館１階 西通路,Second Wing 1F - West Hall,별관 1F 서쪽 통로,別館１樓・西側走廊,,Translated
7,,,,,,Translated
8,別館２階 東通路,Second Wing 2F - East Hall,별관 2F 동쪽 통로,別館２樓・東側走廊,,Translated
9,,,,,,Translated
10,別館２階 西通路,Second Wing 2F - West Hall,별관 2F 서쪽 통로,別館２樓・西側走廊,,Translated
11,,,,,,Translated
12,地下防空壕跡,Abandoned Bomb Shelter,지하 방공호,地下防空壕遺址,,Translated
13,,,,,,Translated
14,解体部屋,Dissection Room,해체실,解剖室,,Translated
15,,,,,,Translated
16,???,???,???,???,,Translated
17,,,,,,Translated
18,殺害現場,Murder Scene,살해현장,殺害現場,,Translated
19,,,,,,Translated
20,本館１階 玄関,Main Building 1F - Entranceway,본관 1F 현관,本館１樓・玄關,,Translated
21,,,,,,Translated
22,本館１階 東通路,Main Building 1F - East Hall,본관 1F 동쪽 통로,本館１樓・東側走廊,,Translated
23,,,,,,Translated
24,本館１階 西通路,Main Building 1F - West Hall,본관 1F 서쪽 통로,本館１樓・西側走廊,,Translated
25,,,,,,Translated
26,本館２階中央通路,Main Building 2F - Center Hall,본관 2F 중앙 통로,本館２樓・中央走廊,,Translated
27,,,,,,Translated
28,本館２階 東通路,Main Building 2F - East Hall,본관 2F 동쪽 통로,本館２樓・東側走廊,,Translated
29,,,,,,Translated
30,本館２階 西通路,Main Building 2F - West Hall,본관 2F 서쪽 통로,本館２樓・西側走廊,,Translated
31,,,,,,Translated
32,本館３階 東通路,Main Building 3F - East Hall,본관 3F 동쪽 통로,本館３樓・東側走廊,,Translated
33,,,,,,Translated
34,本館３階 西通路,Main Building 3F - West Hall,본관 3F 서쪽 통로,本館３樓・西側走廊,,Translated
35,,,,,,Translated
36,１のＡ 教室,Classroom 1-A,1-A 교실,１年Ａ班教室,,Translated
37,,,,,,Translated
38,２のＡ 教室,Classroom 2-A,2-A 교실,２年Ａ班教室,,Translated
39,,,,,,Translated
40,３のＡ 教室,Classroom 3-A,3-A 교실,３年Ａ班教室,,Translated
41,,,,,,Translated
42,５のＡ 教室,Classroom 5-A,5-A 교실,５年Ａ班教室,,Translated
43,,,,,,Translated
44,保健室,Infirmary,보건실,保健室,,Translated
45,,,,,,Translated
46,校長室,Principal's Office,교장실,校長室,,Translated
47,,,,,,Translated
48,更衣室,Locker Room,라커룸,更衣室,,Translated
49,,,,,,Translated
50,自殺のあった音楽室,Music Room - Suicide Site,자살 사건이 있었던 음악실,曾發生自殺事件的音樂室,,Translated
51,,,,,,Translated
52,水圧調整室,Pump Room,수압조정실,水壓調整室,,Translated
53,,,,,,Translated
54,天神小 水練場,Poolside,텐진초 수영장,天神小學校游泳池,,Translated
55,,,,,,Translated
56,理科室,Science Lab,과학실,理科室,,Translated
57,,,,,,Translated
58,職員室,Staff Room,교무실,教職員室,,Translated
59,,,,,,Translated
60,資料室,Reference Room,자료실,資料室,,Translated
61,,,,,,Translated
62,用務員室,Custodian's Closet,수위실,校工室,,Translated
63,,,,,,Translated
64,呪われた図工室,Cursed Art Room,저주받은 도공실,受詛咒的美術教室,,Translated
65,,,,,,Translated
66,別館・男子厠,Second Wing - Boys' Lavatory,별관 남자 화장실,別館・男廁,,Translated
67,,,,,,Translated
68,別館・女子厠,Second Wing - Girls' Lavatory,별관 여자 화장실,別館・女廁,,Translated
69,,,,,,Translated
70,本館・男子厠,Main Building - Boys' Lavatory,본관 남자 화장실,本館・男廁,,Translated
71,,,,,,Translated
72,本館・女子厠,Main Building - Girls' Lavatory,본관 여자 화장실,本館・女廁,,Translated
73,,,,,,Translated
74,00_staff_00a.tga,00_staff_00a.tga,,00_staff_00a.tga,,Translated
75,,,,,,Translated
76,00_staff_00b.tga,00_staff_00b.tga,,00_staff_00b.tga,,Translated
77,,,,,,Translated
78,00_staff_01a.tga,00_staff_01a.tga,,00_staff_01a.tga,,Translated
79,,,,,,Translated
80,00_staff_01b.tga,00_staff_01b.tga,,00_staff_01b.tga,,Translated
81,,,,,,Translated
82,00_staff_02a.tga,00_staff_02a.tga,,00_staff_02a.tga,,Translated
83,,,,,,Translated
84,00_staff_02b.tga,00_staff_02b.tga,,00_staff_02b.tga,,Translated
85,,,,,,Translated
