Index,JP,EN2,KO,TC,Translator_Notes,Status
0,２のＡ,Classroom 2-A,2-A,２年Ａ班,,Translated
1,保健室,Infirmary,보건실,保健室,,Translated
2,西館：南階段,West Building - South,서관 : 남쪽 계단,西館・南側樓梯,,Translated
3,保健室前,Infirmary Entrance,보건실 앞,保健室前,,Translated
4,本館：南階段,Main Building - South,본관 : 남쪽 계단,本館・南側樓梯,,Translated
5,２のＡ教室,Classroom 2-A,2-A 교실,２年Ａ班教室,,Translated
6,別館：玄関,Second Wing 1F - Entranceway,별관 : 현관,別館・玄關,,Translated
7,本館：西階段,Main Building - West,본관 : 서쪽 계단,本館・西側樓梯,,Translated
8,２－Ａ,Classroom 2-A,2-A,２年Ａ班,,Translated
9,旧校舎：１Ｆ北西,Old Building 1F - Northwest,구 교사 : 1F 북서,舊校舍・１樓西北側,,Translated
10,旧校舎：２Ｆ理科室前,Old Building 2F - Science Lab,구 교사 : 2F 과학실 앞,舊校舍・２樓理科室前,,Translated
11,旧校舎：２Ｆ元保健室前,Old Building 2F - Infirmary,구 교사 : 2F 보건실 앞,舊校舍・２樓舊保健室前,,Translated
12,別館：西・通し階段,Second Wing - West,별관 : 서쪽 통로 계단,別館・西側貫通樓梯,,Translated
13,地下防空壕：１,Abandoned Bomb Shelter 1,지하방공호 : 1,地下防空壕・１,,Translated
14,地下防空壕：２,Abandoned Bomb Shelter 2,지하방공호 : 2,地下防空壕・２,,Translated
15,地下防空壕：最深部,Abandoned Bomb Shelter 3,지하방공호 : 최심부,地下防空壕・最深處,,Translated
16,,,,,,Translated
