Key,Chapter,JP_School,EN_School,KO_School,TC_School,JP_Class,EN_Class,KO_Class,TC_Class,JP_Name,EN_Name,KO_Name,TC_Name,JP_Description,EN_Description,KO_Description,TC_Description,JP_Age,EN_Age,KO_Age,TC_Age
1,3,白檀高等学校,Byakudan Senior High School,뱌쿠단고등학교,白檀高等學校,2年4組,Class 2-4,2학년 4반,2年4班,山本 美月,Mitsuki Yamamoto,야마모토 미츠키,山本 美月,背中を刃物で斬りつけられ失血死。,Back slashed open with edged weapon; bled out.,날붙이에 등을 베여 실혈사.,背部遭刃物砍傷導致失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
2,5,白檀高等学校,Byakudan Senior High School,뱌쿠단고등학교,白檀高等學校,2年4組,Class 2-4,2학년 4반,2年4班,黒崎 健介,Kensuke Kurosaki,쿠로사키 켄스케,黒崎 健介,刃物で何度も斬り付けられ死亡。,Body repeatedly flayed with edged weapon.,날붙이에 수차례 베여 사망.,遭刃物多次砍殺身亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
3,5,白檀高等学校,Byakudan Senior High School,뱌쿠단고등학교,白檀高等學校,2年4組,Class 2-4,2학년 4반,2年4班,霧崎 凍孤,Tohko Kirisaki,키리사키 토우코,霧崎 凍孤,鋏で自らの舌を切り取り窒息死。,"Cut out own tongue with scissors and choked
on it.",가위로 자신의 혀를 잘라 질식사.,用剪刀剪下自己的舌頭導致窒息死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
4,2,白檀高等学校,Byakudan Senior High School,뱌쿠단고등학교,白檀高等學校,2年4組,Class 2-4,2학년 4반,2年4班,片山 良介,Ryosuke Katayama,카타야마 료스케,片山 良介,階段から突き落とされ複雑骨折、失血死。,Pushed down stairs; suffered compound fracture and bled out.,계단에서 떠밀려 복합 골절、실혈사.,被推下樓梯導致複雜性骨折並失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
5,2,白檀高等学校,Byakudan Senior High School,뱌쿠단고등학교,白檀高等學校,2年4組,Class 2-4,2학년 4반,2年4班,大川 智寛,Tomohiro Ohkawa,오오카와 토모히로,大川 智寛,刃物で斬り付けられ失血死。,Sliced up with edged weapon; bled out.,날붙이에 베여 실혈사.,遭刃物砍傷導致失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
6,2,白檀高等学校,Byakudan Senior High School,뱌쿠단고등학교,白檀高等學校,2年4組,Class 2-4,2학년 4반,2年4班,島田 快,Kai Shimada,시마다 카이,島田 快,刃物で斬り付けられ失血死。,Sliced up with edged weapon; bled out.,날붙이에 베여 실혈사.,遭刃物砍傷導致失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
7,2,白檀高等学校,Byakudan Senior High School,뱌쿠단고등학교,白檀高等學校,2年4組,Class 2-4,2학년 4반,2年4班,袋井 雅人,Masato Fukuroi,후쿠로이 마사토,袋井 雅人,鈍器で殴られた上に刃物で刺され失血死。,Struck with one weapon and stabbed with another; bled out.,둔기에 맞고 흉기에 찔려 실혈사.,遭鈍器毆打後又被刃物刺傷導致失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
8,3,白檀高等学校,Byakudan Senior High School,뱌쿠단고등학교,白檀高等學校,2年4組,Class 2-4,2학년 4반,2年4班,卜部 恵美,Emi Urabe,우라베 에미,卜部 恵美,鈍器で頭蓋を割られ死亡。,Skull cracked open with blunt instrument.,둔기에 맞아 두개골이 깨져 사망.,遭鈍器擊碎頭蓋骨而死亡。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
9,5,白檀高等学校,Byakudan Senior High School,뱌쿠단고등학교,白檀高等學校,2年4組,Class 2-4,2학년 4반,2年4班,刻命 裕也,Yuuya Kizami,키자미 유야,刻命 裕也,何者かに鈍器で撲殺される。亡骸の所在は不明。,Beaten to death with blunt instrument. Whereabouts of body unknown.,누군가의 둔기에 의해 타살. 시체의 소재는 불명.,遭不明人士以鈍器毆打致死。遺體下落不明。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
10,5,天道高等学校,Tendo Senior High School,텐도고등학교,天道高等學校,Ⅱ-A,Class Ⅱ-A,Ⅱ-A,Ⅱ-A,林 雅之,Masayuki Hayashi,하야시 마사유키,林 雅之,トラップにかかり失血死。,Caught in trap; bled out.,트랩에 걸려 실혈사.,中陷阱後失血死亡。,"１６歳
",Age : 16,"16세
",16歲
