DataRow,Key,Context1,Context2,Slot,JP,EN,KO,TC,Notes,Status
2,1,998,998,0,はい,Yes,예,是,,Translated
3,2,999,999,0,いいえ,No,아니오,否,,Translated
4,3,1,1,0,中断データがありません,No temp save data,이어하기 데이터가 없습니다.,沒有中斷存檔。,,Translated
5,4,2,2,0,再開しますか？,Resume play?,재진행 하시겠습니까?,要繼續遊戲嗎？,,Translated
6,5,3,3,0,中断セーブをしますか？,Create temporary save data?,이어하기 데이터를 저장하시겠습니까?,要建立中斷存檔嗎？,,Translated
7,6,4,3,0,終了しますか？,Do you wish to exit?,게임을 종료하시겠습니까?,要結束遊戲嗎？,,Translated
8,7,5,3,0,このスロットにはすでにデータがあります。/n上書きしますか？,There is already data in this slot. Do you want to overwrite it?,해당 슬롯에 데이터가 존재합니다. 겹쳐쓰시겠습니까?,此存檔欄位已有存檔資料。/n是否要覆蓋？,,Translated
9,8,6,3,0,初期化しますか？,Revert to default settings?,초기화 하시겠습니까?,要恢復預設設定嗎？,,Translated
10,9,101,1,0,Chapter 1が開放されました。,Chapter 1 has been unlocked.,챕터 1이 열렸습니다.,Chapter 1 已解鎖。,,Translated
11,10,102,1,0,Chapter 2が開放されました。,Chapter 2 has been unlocked.,챕터 2가 열렸습니다.,Chapter 2 已解鎖。,,Translated
12,11,103,1,0,Chapter 3が開放されました。,Chapter 3 has been unlocked.,챕터 3이 열렸습니다.,Chapter 3 已解鎖。,,Translated
13,12,104,1,0,Chapter 4が開放されました。,Chapter 4 has been unlocked.,챕터 4가 열렸습니다.,Chapter 4 已解鎖。,,Translated
14,13,105,1,0,Chapter 5が開放されました。,Chapter 5 has been unlocked.,챕터 5가 열렸습니다.,Chapter 5 已解鎖。,,Translated
15,14,106,1,0,Extra 1が開放されました。,Extra 1 has been unlocked.,엑스트라 챕터 1이 열렸습니다.,Extra 1 已解鎖。,,Translated
16,15,107,1,0,Extra 2が開放されました。,Extra 2 has been unlocked.,엑스트라 챕터 2가 열렸습니다.,Extra 2 已解鎖。,,Translated
17,16,108,1,0,Extra 3が開放されました。,Extra 3 has been unlocked.,엑스트라 챕터 3이 열렸습니다.,Extra 3 已解鎖。,,Translated
18,17,109,1,0,Extra 4が開放されました。,Extra 4 has been unlocked.,엑스트라 챕터 4가 열렸습니다.,Extra 4 已解鎖。,,Translated
19,18,110,1,0,Extra 5が開放されました。,Extra 5 has been unlocked.,엑스트라 챕터 5가 열렸습니다.,Extra 5 已解鎖。,,Translated
20,19,111,1,0,Extra 6が開放されました。,Extra 6 has been unlocked.,엑스트라 챕터 6이 열렸습니다.,Extra 6 已解鎖。,,Translated
21,20,112,1,0,Extra 7が開放されました。,Extra 7 has been unlocked.,엑스트라 챕터 7이 열렸습니다.,Extra 7 已解鎖。,,Translated
22,21,113,1,0,Extra 8が開放されました。,Extra 8 has been unlocked.,엑스트라 챕터 8이 열렸습니다.,Extra 8 已解鎖。,,Translated
23,22,114,1,0,Extra 9が開放されました。,Extra 9 has been unlocked.,엑스트라 챕터 9가 열렸습니다.,Extra 9 已解鎖。,,Translated
24,23,115,1,0,Extra 10が開放されました。,Extra 10 has been unlocked.,엑스트라 챕터 10이 열렸습니다.,Extra 10 已解鎖。,,Translated
25,24,116,1,0,Extra 11が開放されました。,Extra 11 has been unlocked.,엑스트라 챕터 11이 열렸습니다.,Extra 11 已解鎖。,,Translated
26,25,117,1,0,Extra 12が開放されました。,Extra 12 has been unlocked.,엑스트라 챕터 12가 열렸습니다.,Extra 12 已解鎖。,,Translated
27,26,118,1,0,Extra 13が開放されました。,Extra 13 has been unlocked.,엑스트라 챕터 13이 열렸습니다.,Extra 13 已解鎖。,,Translated
