Index,Chapter,Ending,Unknown,JP_ID,JP_Title,JP_Description,EN2_ID,EN2_Title,EN2_Description,KO_ID,KO_Title,KO_Description,TC_ID,TC_Title,TC_Description,Translator_Notes,Status
0,1,0,0,ED No.1,クリアエンド,首を吊って死んだ世以子。残された直美の運命は？,ED No.1,Chapter Clear,"Seiko hangs herself, leaving Naomi behind.",ED No.1,챕터 클리어,목을 매고 죽어있는 세이코. 남겨져 버린 나오미의 운명은?,ED No.1,通關結局,世以子上吊身亡。被留下的直美命運將會如何？,,Translated
1,1,1,0,ED No.2,バッドエンド１,霊に操られ、自らハサミで舌を切断して死亡。,ED No.2,Wrong End 1,Possessed by spirits; severed own tongue with scissors.,ED No.2,배드 엔딩 1,유령에 조종당해 스스로 가위로 혀를 잘라 사망.,ED No.2,壞結局１,受到怨靈操控，以剪刀傷害自己後身亡。,,Translated
2,1,2,0,ED No.3,バッドエンド２,黒い霧のような霊に襲われ死亡。,ED No.3,Wrong End 2,Attacked and enveloped by black mist-like spirit.,ED No.3,배드 엔딩 2,검은 안개와 같은 유령의 습격에 사망.,ED No.3,壞結局２,遭到如黑霧般的怨靈襲擊而身亡。,,Translated
3,1,3,0,ED No.4,バッドエンド３,犠牲者の手記を最後まで読んだことにより黒化して死亡。,ED No.4,Wrong End 3,Read Victim's Memoirs to completion and succumbed to Darkening.,ED No.4,배드 엔딩 3,희생자의 수기를 끝까지 읽고 흑화하여 사망.,ED No.4,壞結局３,讀完《犧牲者手記》後黑化身亡。,,Translated
4,2,0,0,ED No.1,クリアエンド,繭の凄惨な死。犯人の懺悔は偽りか？,ED No.1,Chapter Clear,Mayu dies a gruesome death. Was the killer's repentance a lie?,ED No.1,챕터 클리어,마유의 처참한 죽음. 범인의 참회는 거짓?,ED No.1,通關結局,繭慘遭殺害。犯人的懺悔難道是謊言？,,Translated
5,2,1,0,ED No.2,バッドエンド１,生き埋めにされて死亡。,ED No.2,Wrong End 1,Buried alive.,ED No.2,배드 엔딩 1,생매장 당해 사망.,ED No.2,壞結局１,遭到活埋而身亡。,,Translated
6,2,2,0,ED No.3,バッドエンド２,ワイヤートラップにより、体を切断されて死亡。,ED No.3,Wrong End 2,Body bisected by wire trap.,ED No.3,배드 엔딩 2,와이어 트랩에 몸이 절단당하여 사망.,ED No.3,壞結局２,遭鋼絲陷阱重創而身亡。,,Translated
7,2,3,0,ED No.4,バッドエンド３,あゆみに階段から突き落とされて死亡。,ED No.4,Wrong End 3,Pushed down stairs by Ayumi; died from multiple impact wounds.,ED No.4,배드 엔딩 3,아유미의 밀침에 의해 계단으로부터 추락하여 사망.,ED No.4,壞結局３,被あゆみ推下樓梯而身亡。,,Translated
8,2,4,0,ED No.5,バッドエンド４,犠牲者の手記を最後まで読んでしまい、あゆみを殺害。,ED No.5,Wrong End 4,Read Victim's Memoirs to completion and killed Ayumi.,ED No.5,배드 엔딩 4,희생자의 수기를 끝까지 읽고 아유미를 살해.,ED No.5,壞結局４,讀完《犧牲者手記》後殺害了あゆみ。,,Translated
9,3,0,0,ED No.1,クリアエンド,由香とはぐれた哲志の前に現れた冴之木七星。彼女は何者か？,ED No.1,Chapter Clear,"After being separated from Yuka, Satoshi runs into Naho Saenoki. Just who is she?",ED No.1,챕터 클리어,유카와 갈라진 사토시 앞에 나타난 사에노키 나호. 그녀는 누구?,ED No.1,通關結局,與由香走散後，哲志遇見了冴之木七星。她究竟是誰？,,Translated
10,3,1,0,ED No.2,バッドエンド１,霊に呪われ、２階から落下し死亡。,ED No.2,Wrong End 1,Cursed by spirit; fell from second floor and died.,ED No.2,배드 엔딩 1,유령의 저주로 2층으로부터 추락하여 사망.,ED No.2,壞結局１,受到怨靈詛咒，從二樓墜落身亡。,,Translated
11,3,2,0,ED No.3,バッドエンド２,霊に目をえぐられ死亡。,ED No.3,Wrong End 2,Eyes dug out of skull by spirit.,ED No.3,배드 엔딩 2,유령이 눈을 도려내어 사망.,ED No.3,壞結局２,遭怨靈襲擊而身亡。,,Translated
12,3,3,0,ED No.4,バッドエンド３,犠牲者の手記を読むうちに、心を蝕まれ死亡。,ED No.4,Wrong End 3,Read Victim's Memoirs; soul was taken over by despair and rotted away.,ED No.4,배드 엔딩 3,희생자의 수기를 읽던 중에 마음을 침식당해 사망.,ED No.4,壞結局３,閱讀《犧牲者手記》時，心靈遭到侵蝕而身亡。,,Translated
13,3,4,0,ED No.5,バッドエンド４,毒により体力を奪われて死亡。,ED No.5,Wrong End 4,Succumbed to poison and collapsed.,ED No.5,배드 엔딩 4,독에 의해 체력을 빼앗겨 사망.,ED No.5,壞結局４,受到毒素侵蝕，體力耗盡而身亡。,,Translated
14,4,0,0,ED No.1,クリアエンド,現世に戻った良樹とあゆみだったが…,ED No.1,Chapter Clear,"Yoshiki and Ayumi return to the real world, yet...",ED No.1,챕터 클리어,"이승으로 돌아온 요시키와 아유미, 허나...",ED No.1,通關結局,良樹與あゆみ回到了現世，然而……,,Translated
15,4,1,0,ED No.2,バッドエンド１,子供の霊に襲われて死亡。,ED No.2,Wrong End 1,Attacked and killed by child spirit.,ED No.2,배드 엔딩 1,어린 유령에 습격당해 사망.,ED No.2,壞結局１,遭到孩童怨靈襲擊而身亡。,,Translated
16,4,2,0,ED No.3,バッドエンド２,ハサミで胸を突かれ、失血死。,ED No.3,Wrong End 2,Scissor plunged into chest; bled out.,ED No.3,배드 엔딩 2,가위에 가슴이 찔려 실혈사.,ED No.3,壞結局２,被剪刀刺中胸口，失血身亡。,,Translated
17,4,3,0,ED No.4,バッドエンド３,排水溝に吸い込まれて死亡。,ED No.4,Wrong End 3,Sucked into pool drain; body shredded.,ED No.4,배드 엔딩 3,배수구에 빨려 들어가 사망.,ED No.4,壞結局３,被吸入排水口而身亡。,,Translated
18,4,4,0,ED No.5,バッドエンド４,よどんだ水の中で溺死。,ED No.5,Wrong End 4,"Drowned in murky, stagnant water.",ED No.5,배드 엔딩 4,고인 물속에서 익사.,ED No.5,壞結局４,在混濁的積水中溺斃。,,Translated
19,4,5,0,ED No.6,エクストラエンド,生徒のために…結衣の最後。,ED No.6,Extra End,"Ms. Yui's final moments, devoted to the very end.",ED No.6,엑스트라 엔딩,학생들을 위하여...유이의 최후.,ED No.6,額外結局,為了學生……結衣最後的結局。,,Translated
20,5,0,0,ED No.1,トゥルーエンド,悲しみの終焉。,ED No.1,True End,The tragedy comes to an end.,ED No.1,트루 엔딩,슬픔의 끝.,ED No.1,真結局,悲傷迎來終結。,,Translated
21,5,1,0,ED No.2,エクストラエンド,由香と直美がいない世界に戻る。,ED No.2,Extra End,Returned to a world without Yuka or Naomi.,ED No.2,엑스트라 엔딩,유카와 나오미가 없는 세계로 귀환.,ED No.2,額外結局,回到一個沒有由香與直美的世界。,,Translated
22,5,2,0,ED No.3,バッドエンド２,人体模型に襲われて焼死。,ED No.3,Wrong End 2,Burned to death by anatomical model.,ED No.3,배드 엔딩 2,인체모형에 습격당해 불에 타 사망.,ED No.3,壞結局２,遭人體模型襲擊並被燒死。,,Translated
23,5,3,0,ED No.4,バッドエンド３,一人だけ生き残り逆打ちができずに脱出できなくなる。,ED No.4,Wrong End 3,Rendered unable to escape due to presence of only one survivor.,ED No.4,배드 엔딩 3,홀로 생존하여 저주를 해제하지 못한 채 탈출에 실패하게 된다.,ED No.4,壞結局３,只剩一人生還，無法進行逆打而失去逃生機會。,,Translated
24,5,4,0,ED No.5,バッドエンド４,狂った直美に襲われる。,ED No.5,Wrong End 4,Attacked and killed by Darkened Naomi.,ED No.5,배드 엔딩 4,미쳐버린 나오미한테 습격당한다.,ED No.5,壞結局４,遭到失控的直美襲擊。,,Translated
25,5,5,0,ED No.6,バッドエンド５,黒化したあゆみに襲われる。,ED No.6,Wrong End 5,Attacked and killed by Darkened Ayumi.,ED No.6,배드 엔딩 5,흑화한 아유미한테 습격당한다.,ED No.6,壞結局５,遭到黑化的あゆみ襲擊。,,Translated
26,5,6,0,ED No.7,バッドエンド６,脱出失敗。雪により、永遠に天神小から脱出できなくなる。,ED No.7,Wrong End 6,Unable to escape; trapped in Heavenly Host for all eternity by Yuki.,ED No.7,배드 엔딩 6,탈출 실패. 눈에 갇혀 영원히 텐진초를 빠져나갈 수 없게 된다.,ED No.7,壞結局６,逃脫失敗。受到雪的阻撓，永遠無法離開天神小學校。,,Translated
27,5,7,0,ED No.8,バッドエンド７,永遠に天神小の悪夢を繰り返す。,ED No.8,Wrong End 7,Doomed to repeat events of Heavenly Host in endless cycle.,ED No.8,배드 엔딩 7,텐진초의 악몽이 영원히 반복된다.,ED No.8,壞結局７,永遠重複天神小學校的惡夢。,,Translated
28,5,8,0,ED No.9,バッドエンド８,大量の虫が溜まったプールに沈み死亡。,ED No.9,Wrong End 8,Drowned in pool of insects.,ED No.9,배드 엔딩 8,벌레로 꽉 차 있는 풀에 빠져 사망.,ED No.9,壞結局８,沉入聚滿大量蟲子的泳池而身亡。,,Translated
29,6,0,0,ED No.1,エクストラ１,クリアエンド。還るべき場所への手助けをした。,ED No.1,Extra1,Extra Clear: Helped them return to where they belong.,ED No.1,엑스트라1,클리어 엔딩 있어야 할 곳에 돌아가도록 도와주었다.,ED No.1,額外１,通關結局。幫助對方回到應歸之處。,,Translated
30,6,1,0,ED No.2,エクストラ１,バッドエンド１。人魂になぶり殺しにされる。,ED No.2,Extra1,Wrong End 1: Tormented by spirits until death.,ED No.2,엑스트라1,배드 엔딩 1: 배드엔딩1. 혼령에 의해 갖은 고통을 받다 죽게 된다.,ED No.2,額外１,壞結局１。遭人魂折磨至死。,,Translated
